serial,year_built,reg_date,previous,type,manufacturer,build_place,registration,notes,year_reg
634,1976.0,1976.03.26,Cancelled,Schempp-Hirth HS-4 Standard Cirrus 75,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XDU,Competition number P7,1976
198,1972.0,1977.03.01,D-0882,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XHC,"D-0882, OY-XHC, competition number 21",1977
32087,2023.0,2023.08.02,Cancelled,Schleicher ASG 32 Mi,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XCU(1),"D-4745, OY-XCU, competition number D1, crashed 23.4.1980 Slaglille",1975-1980
214,2008.0,2018.02.21,PH-1425,Schempp-Hirth Ventus 2cT,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-XCH(1),"OY-XCH competition number 01, OM-1176",1974-2004
565G,1975.0,1975.04.11,Cancelled,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Mindelheim, W.Germany",OY-XCG,Competition number C5,1975
639,1976.0,1976.03.31,Cancelled 2003.11.06,Schempp-Hirth HS-4 Standard Cirrus 75,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-VXN,"Competition number P2, crashed in trees 24.7.1996 Sweden",1976-2003
,1970.0,1970.09.23,Cancelled,Schempp-Hirth HS-4 Standard-Cirrus,Schempp-Hirth KG,"Kirchheim unter Teck, W.Germany",OY-HBX,Competition number 49,1970
6-41,1989.0,2005.03.03,BGA-3554/FVG D-2224,Glaser-Dirks DG-600/18,Glaser-Dirks Flugzeugbau,"Bruchsal, Germany",OY-EXE,"BGA 3554/FVG, OY-EXE Competition number EE",2005
,,1987.11.02,Cancelled NTU,Schempp-Hirth Ventus c,Schempp-Hirth KG,"Kirchheim unter Teck, Germany",OY-XPH,"BGA 4983/KCK/RA, OY-XPH competition number RA, PH, Skywalkers Unlimited",2006
24014,1988.0,2004.06.22,BGA-3380/FMX,Schleicher ASW 24,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-RXR,"BGA 3380/FMX, OY-RXR competition number 4R",2004
nil,,1945.11.19,Cancelled NTU,Schneider ESG-9 Grunau 9,Schneider,,OY-88,Never flown,
53414,,1992.,Cancelled NTU,McDonnell Douglas MD-82,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KHZ,"(SAS ""Turgeiss Viking""). Not built.",(1992)
53412,,1992.,Cancelled NTU,McDonnell Douglas MD-82,McDonnell Douglas Corporation,"Long Beach, CA, USA",OY-KHY,"(SAS ""Torodd Viking""). Not built",(1992)
4104,,1982.10.01,D-KOOY,Scheibe SF 36,Scheibe Flugzeugbau GmbH,,OY-XMI,"(LN-GKN), D-KOOY, (LN-GOY),  D-KOOY, (OY-XMI), LN-GOY",(1982)
23326,1985.0,2005.12.06,N326MR ZK-NBA VH-RMC HB-IIX VH-RMC ZK-NBA (N6018N),Boeing 767-219ER,Boeing Company,"Everett, WA, USA",OY-SRN,"N6018N, ZK-NBA, VH-RMC, HB-IIX, VH-RMC, ZK-NBA, N326MR, (conv. 219ER(F)), OY-SRN Star Air",2005
,,,,,,,OY-TRE (1),"N2404D, (OY-TRE), LN-TVD, CoA expired in 2004",
28312,,1998.,(N1786B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKH,"N1795B, (LN-RPD), OY-KKH SAS ""Embla Viking"", LN-RRD, broken up 2021",1999-2008
28312,,1998.,(N1786B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKH,"N1786B, (OY-KKH), (SE-DTH), OY-KKP SAS ""Ragna Viking"", LN-RPU",
28312,1999.0,1999.11.11,(OY-KKH) (N1786B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKP,"N1786B, (OY-KKH), (SE-DTH), OY-KKP SAS ""Ragna Viking"", LN-RPU",1999-2000
28299,1999.0,1999.03.05,(N1787B),Boeing 737-683,Boeing Company,"Renton, WA, USA",OY-KKD,"N1787B, OY-KKD, SAS  ""Ellida Viking"", LN-RPT",1999-2000
30192,2000.0,,N1786B,Boeing 737-783,Boeing Company,"Renton, WA, USA",OY-KKI,"(SE-DTH), (OY-KKI), SE-DTH SAS ""Vile Viking"", LN-RGK SAS, broken up 2019",(2000)
30192,2000.0,,N1786B,Boeing 737-783,Boeing Company,"Renton, WA, USA",OY-KKI,"N1796B, OY-KKI SAS ""Borgny Viking"", LN-RNN, b/u Twente 2019",2000-2005
30192,2000.0,,N1786B,Boeing 737-783,Boeing Company,"Renton, WA, USA",OY-KKI,"N1786B, (OY-KKI), LN-RPJ SAS ""Grimhild Viking""",
208B0587,,1996.10.21,N8782X N7229Z,Cessna 208B Grand Caravan,Cessna Aircraft Company,"Wichita, KS, USA",OY-PBE,"N7229Z, N9782X, (OY-PBE), LN-PBE, OO-SPA",
18254027,,1993.03.05,N3027Y,Cessna 182E Skylane,Cessna Aircraft Company,"Wichita, KS, USA",OY-EHL,"N3027Y, (LN-EHL), (OY-EHL), LN-LTH",
27-7304954,1972.0,1974.10.18,G-BARU (N14367),Piper PA-23-250 Aztec E,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-RPW,"N14367, G-BARU, OY-RPW, SE-KHV, 
LN-KAI. CofA exp. 2003. Stored in Rakkestad, Norway (ENRK), scrapped",1974-1989
,,1986.,Cancelled NTU,Cessna 500 Citation,Cessna Aircraft Company,"Wichita, KS, USA",OY-CGS,"SE-IAO, (OY-CGS), LN-KAD",
15060457,1964.0,1964.05.14,N4457U,Cessna 150D,Cessna Aircraft Company,"Wichita, KS, USA",OY-TRI,"(N4557U), OY-TRI, SE-EHL, LN-BGR",1964-1964
17273590,1979.0,1989.10.31,N6360G,Cessna 172N Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-CYL,"N6360G, OY-CYL",1989
8061C,1985.0,1987.07.07,N749RC,Maule M-5-180C Lunar Rocket,Maule Aircraft Corporation,"Moultrie, GA, USA",OY-CPM,"N749RC, OY-CPM, LN-BED, collided with C.140 LN-ALO at Lunde 9.6.1991. Repaired with parts from LN-AEU (8021C)",1987-1988
1133,1967.0,1967.10.26,Cancelled 1987.07.08,SOCATA MS.880B Rallye Club,SOCATA,"Tarbes, France",OY-DFG,"OY-DFG, I-PSMR, CofA expired 2002. Rieti 2004",1967-1987
4697147,2002.0,2002.09.10,Cancelled NTU,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PHB,"N9513N, (OY-PHB), N53543, G-MDCA, N123NN, G-SAAL, F-HCFL, 6V-",
4697147,2002.0,2002.09.10,Cancelled NTU,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PHB,"N9510N, (OY-PHB), N53681, OY-PHB, I-IPHB",2003-2005
27,1958.0,1962.06.05,D-8279,Vogt Lo 150B,Vogt,"Nabern-Teck, W.Germany",OY-DTX,"D-8279, OY-DTX, CofA expired 1974, crashed 3.5.2006","1962-1980
1998-2007"
7143,1964.0,1985.04.12,D-5471,Schleicher Ka 7 Rhönadler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XNS,"D-KGCV, (OY-XNS), D-KGCV, HA-1242",
7143,1964.0,1985.04.12,D-5471,Schleicher Ka 7 Rhönadler,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-XNS,"D-5471, OY-XNS. Havareret 30.7.1995 i brunkulslejerne ved Ejstruphede Flyveplads",1985-2003
,1974.0,1986.06.30,G-BFST OO-TOF,Partenavia P.68B Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-CEW,"OO-TOF, G-BFST, OY-CEW, crashed  
28.9.1991 Lerchenborg",1986-1992
17281354,2006.0,2007.03.02,N1295G,Cessna 172R Skyhawk,Cessna Aircraft Company,"Independence,KS, USA",OY-JLI,"N1295G, OY-JLI",2007
10-28,1991.0,1991.11.18,(G-CHLT) D-KGCL,Stemme S 10,Stemme GmbH & Co KG,"Berlin, Germany",OY-JAX,"D-KGCL, (G-CHLT), OY-JAX competition number AX, F-CIRH (Conv. to Stemme S-10V c/n 14-028M)",1991-1998
47308,1969.0,1969.03.19,Cancelled 2000.11.20,Douglas DC-9 Srs.21,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-KGF,"OY-KGF SAS ""Rolf Viking"", TT62677H. F-WQPC, F-GVTH, F-WTVH, F-WVRG, F-GVTH",1969-2000
BB-192,1976.0,1979.05.10,(EI-BGR) SE-GRP,Beech 200 Super King Air,Beech Aircraft Corporation,"Wichita, KS, USA",OY-CBV,"SE-GRP, (EI-BGR), OY-CBV, 
LN-KCI, OY-CBV, F-OGPQ, F-GLIF","1979-1979, 
1981-1990"
2855,1992.0,2003.09.03,F-GMAA,Cameron N-77,Cameron Balloons Ltd,"Bristol, UK",OY-GOZ,"F-GMAA, OY-GOZ. Cancelled, stolen.",2003-2007
9303-S55/FR.1501,1996.0,2011.12.20,Cancelled,Jodel D.112 (mod.),"Jodel, Avions","Ejstrupholm, Denmark",OY-CMN,"Crashed 28.10.1985 Lindtorp, restored, OY-8706, OY-CMN","(1978)
2004"
1,1942.0,1942.09.03,Cancelled 1945.07.28,DFS Rhönbussard I,DFS (Deutsche Forschungsanstalt für Segelflug,"Vordingborg, Denmark",OY-43,"OY-43 ""Fugl II"", OY-DIX, destroyed by fire 24-25.5.1955 Sandholm",1942-1945
22-9105,1962.0,1962.03.12,(N10F),Piper PA-22-108 Colt,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-EAU,"(N10F), OY-EAU Sportsflyveklubben ""Rap"", broken up",1962-1975
22-9253,1961.0,1962.03.12,Cancelled,Piper PA-22-108 Colt,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-EAT,"Sportsflyveklubben ""Rip""",1962
22-9144,1961.0,1962.03.12,Cancelled 1982.09.14,Piper PA-22-108 Colt,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-EAV,"N10F, OY-EAV Sportsflyveklubben ""Rup"", CofA expired 1977, D-ECEO(3)","1962-1982, 
1992-2003"
MU2B-35-557,1972.0,1990.07.18,N314MA N73MC N192MA C-GWID N192MA,Mitsubishi MU-2J (MU-2B-35),Mitsubishi Jukogyo Kabushiki Kaisha,"Tokyo, Japan",OY-CUG,"N192MA, G-GWID, N192MA, N73MC, 
N314MA, OY-CUG, OH-MIC, (N345SA)",1990-1991
2006,1989.0,1989.10.25,Cancelled 2007.02.16,Cameron N-90,Cameron Balloons Ltd,"Bristol, UK",OY-COC,Scrapped,1989-2007
2843237,1999.0,1999.06.30,N41352 OK-NEW (N9516N),Piper PA-28-181 Archer III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JAF,"N9516N, N41352, OY-JAF Air Alpha, SE-LDU",1999-1999
5628,,2018.05.16,9H-INV TS-INV TS-IBT P4-ABC C-FFZP,Bombardier Challenger 604,Canadair Ltd,"Dorval, Que, Canada",OY-INV(1),"N5211Q, D-IGAS, OY-INV INV V A/S, OM-HLZ, N223JF",2006-2006
,1975.0,1976.02.19,Cancelled 2006.04.27,Partenavia P.68B Victor,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-CAA,"OY-CAA Copenhagen Airtaxi, ES-SPA",1976-2006
17280087,1997.0,1997.11.03,Cancelled 2004.09.16,Cessna 172R Skyhawk,Cessna Aircraft Company,"Independence,KS, USA",OY-PBS,"N5260M, OY-PBS Benair A/S, F-HARJ",1997-2004
44408,1987.0,1987.03.25,(D-KNIN),Scheibe SF 25C Falke,Scheibe Flugzeugbau GmbH,"Dachau, W.Germany",OY-XYG,"(D-KNIN), OY-XYG, D-KYGI",1987-1991
3449168,2000.0,2000.07.07,N9515N,Piper PA-34-220T Seneca 5,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAB,"N9515N, OY-LAB, I-ILAB, D-GREA",2000-2001
24-3591,1964.0,1964.07.14,N8399P N10F,Piper PA-24-250 Comanche,Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-BAW,"N10F, N8399P, OY-BAW, SE-IKF",1964-1982
,,,,,,,OY-KVA (2),"(OY-KVA), N8484H, OB-OAG-728, OB-R-728, N990AC NASA. Stored Marana, Arizona, broken up",
4697019,2000.0,2001.12.12,N519MM,Piper PA-46-500TP Malibu Meridian,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-GPT,"N519MM, (OY-NEW), OY-GPT, D-EPKD, D-FPKD",2001-2004
nil,1942.0,1944.05.19,GL-6,SG-38,Rehberg/Schneider/Hofmann,"København, Denmark",OY-58,"GL-6 (Hærens Flyvetropper), OY-58, LN-GGK, crashed 14.6.1955 Kjevik",1944-1954
2843345,2000.0,2000.05.11,Cancelled 2002.02.14,Piper PA-28-181 Archer III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-PAW,"N9513N, OY-PAW, damaged 21.5.2001 Weston, Irland, D-ELWC(3)",2000-2002
AA1-0448,1970.0,1973.05.23,Cancelled 1988.12.27,American AA-1A Trainer,American Aviation Corporation,"Cleveland, OH, USA",OY-AYH,"(N6248L), OY-AYH, D-EKAV(3)",1973-1988
2843375,2000.0,2000.11.21,Cancelled 2003.05.06,Piper PA-28-181 Archer III,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-LAD,"N9526N, OY-LAD, D-EIGW",2000-2003
3257103,1999.0,1999.09.23,Cancelled 2003.07.23,Piper PA-32R-301T Saratoga II TC,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-JAH,"N9527N, OY-JAH Air Alpha, D-EHAH(4)",1999-2003
AT.493,1982.0,1987.03.06,N3075A CP-2109 N3075A,Fairchild SA227-AT Merlin IVC,Fairchild Aircraft Corporation,"San Antonio, TX, USA",OY-CHC,"N3075A, CP-2109, N3075A, OY-CHC Business Aviation, N121FA, F-GGLG, PH-RAX, damaged in forced landing in storm 2.7.2000 Reims, D-CNAY",1987-1989
912533,1991.0,1996.02.20,OK-WDL,Let L 410 UVP-E20C,Let Narodny Podnik,"Kunovice, Czechoslovakia",OY-TCL,"OK-WDL, OY-TCL NAC Holding, D-CLED, D4-CBR",1996-2001
19013,1976.0,2003.05.07,D-3767,Schleicher ASW 19,"Schleicher Segelflugzeugbau, A.","Poppenhausen, W.Germany",OY-CAX,"D-3767, OY-CAX,  competition number V1, damaged 28.5.2003 Bolhede, D-KICC (2), SE-UMX",2003-2003
1376,1946.0,1956.07.19,VR-RCC TJ295,Auster VD,Auster Aircraft Ltd,"Leicester, UK",OY-ADY,"TJ295, VR-RCC, OY-ADY ""Mandalay"", SE-CMF",1956-1960
83223,,,D-EBUN G-ANVE T5490,DH.82A Tiger Moth,de Havilland Aircraft Co Ltd,"Cowley, UK",OY-DVR,"T5490, G-ANVE, D-EBUN, (OY-DVR). Written off 4.9.1971, sold to Israel 1998",(-1979)
,1958.0,1975.03.21,OH-211 OH-JAD,SZD-8ter Jaskolka,Polskie Zaklady Lotnicze,"Bielsko-Biala, Poland",OY-XCN,"OH-211, OH-JAD, OY-XCN, CofA expired. 
Dansk Svæveflyvehistorisk Klub","1975-1996
2005"
17249702,1962.0,1983.10.06,SE-EHR LN-DBM (N2402Y),Cessna 172D Skyhawk,Cessna Aircraft Company,"Wichita, KS, USA",OY-BSR,"N2402Y, LN-DBM, SE-EHR, OY-BSR, crashed 2.3.1993 Gislev. Parts used to restore OY-AZH. LY-XCL, RA-2362G",1983-2003
6027C,1974.0,1975.06.09,(D-EMKK) (N15B),Maule M-5-210C Lunar Rocket,Maule Aircraft Corporation,"Moultrie, GA, USA",OY-ANZ,"(N15B), (D-EMKK), OY-ANZ, damaged in storm 12.4.1982 Christianshåb, N602VA",1975-1988
,,,,,,,OY-CMP (1),"OY-8103, OY-CMP reserved 1981. Project abandoned. SE-XFX crashed 13.7.1987 Vrestorp",
28-7505196,1975.0,1975.05.27,Cancelled 1981.07.22,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOW,Crashed 8.4.1978 Skovlunde,1975-1981
28-7505142,1975.0,1975.05.16,Cancelled,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOG,,1975
28-7505088,1974.0,1986.08.28,LN-BGV,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-CGV,"LN-BGV, OY-CGV",1986
28-7405245,1974.0,1974.11.05,Cancelled 1988.10.17,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-TOC,"OY-TOC, G-BPGL, crashed 1.6.1996 Wymondham",1974-1988
28-7405016,1973.0,1975.07.08,N56548,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-RPU,"N56548, OY-RPU, destroyed by fire 24.12.2000 Tåsinge",1975-2003
28-7405099,1974.0,1974.05.31,Cancelled 1982.05.12,Piper PA-28-180 Cherokee Archer,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BGY,"OY-BGY, G-BKCC",1974-1982
28-7716118,1977.0,1977.09.13,Cancelled,Piper PA-28-161 Cherokee Warrior II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BTD,,1977
28-7716161,1977.0,1977.08.16,Cancelled,Piper PA-28-161 Cherokee Warrior II,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BTE,Damaged 1.12.2012 Gørlev,1977
18281807,2006.0,2006.12.14,OE-KAN N6029M,Cessna 182T Skylane,Cessna Aircraft Company,"Independence,KS, USA",OY-TKH,"N6029M, OE-KAN, OY-TKH",2006
11638,1943.0,1966.10.28,SE-BSN LN-IKI LN-IAI (RNoAF): P 42-68711,Douglas C-53D-DO Skytrooper,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DNP,"42-68711, 268711 RNoAF, LN-IAI, LN-IKI, SE-BSN, OY-DNP Faroe Airways, damaged in storm 17.10.1967 Kastrup, broken up 1968 Kastrup",1966-1973
19218,1943.0,1946.03.29,42-100755,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDE,"42-100755, OY-DDE DDL ""Erik Viking"", OY-KLI SAS, N9983F, CC-CLD, CC-CLDJ, CC-CBP ""204"", broken up 1979 Puerto Montt, Chile",1946-1950
19218,1943.0,1946.03.29,42-100755,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDE,"N8248Q, (OY-DDE), OY-DFO DDL, SAS ""Rolf Viking"", OO-SBL, KX-2/OT-CWV, (LN-TUR), G-AZSI, Stansted Fire School 1977",(1946)
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"42-100825, OY-DDA ""Sven Viking"", N9984F, N50V, 100825 Aeronavale ""25"", ""315159"" Musée des Troupes Aérotransportées, St. Mère l'Eglise as ""315159"" 8.1981, 2100825, 1991",1946-1951
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"42-23802, LN-IAP, 68-681, K-681, ""OY-DDA Sven  Viking"", Danmarks Flyvemuseum",XXX
19288,1943.0,1946.03.08,42-100825,Douglas C-47A-70-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-DDA,"(OY-DDA), OY-DFI  DDL, SAS ""Dan Viking"", G-AOXK, 5H-AAH, N39430, 9Q-CPM. Withdrawn from use, broken up",(1946)
42976,1946.0,1946.05.01,NC34980,Douglas DC-3D,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DCY,"NC34980, OY-DCY DDL, SAS ""Sten Viking"", SE-CFW, OE-LBD,  SE-CFW, cancelled 1971, broken up 1971 Antwerp, fuselage at playground Bokrijk 16.11.1971, removed 1976",1946-1957
42963,1946.0,1946.04.11,NC34967,Douglas DC-3D,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-DCU,"NC34967, OY-DCU DDL, SAS ""Ulf Viking"", SE-CFU, OE-LBN,  ZS-FRM, Z-WRU, 5Y-BIL.  Written off at Wilson Airport, Nairobi in January 1996",1946-1957
42885,1947.0,1961.03.04,N90718,Douglas DC-6 Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-AOB,"42-93808, (OY-AOB) ""Bjarke Viking"". Broken up Kastrup 31.12.1949",(1946)
42885,1947.0,1961.03.04,N90718,Douglas DC-6 Cloudmaster,Douglas Aircraft Company Inc,"Santa Monica, CA, USA",OY-AOB,"N90718, OY-AOB Nordair ""Nordstjernen"", N90718,  378 Fuerza Aerea Peruana, broken up 1975",1961-1964
19499,1943.0,1959.11.10,SP-LCD 43-15033,Douglas C-47A-80-DL Skytrain,Douglas Aircraft Company Inc,"Long Beach, CA, USA",OY-AIA,"43-15033, SP-LCD, OY-AIA, Armée de l'Air 15033, F-WSGN, F-SCDI, F-BSGN, N18261, CF-IAX, C-FIAX Crashed 10.12.1976 Ft. George, PQ, Canada",1959-1959
12704,1942.0,1959.11.16,SP-LCB Polish AF Soviet AF 42-92857,Douglas C-47A-15-DK Skytrain,Douglas Aircraft Company Inc,"Oklahoma City, OK, USA",OY-AIC,"42-92857, SP-LCB, OY-AIC, Armee de l'Air 92857, F-BRGM, 71241 Yugoslav AF, YU-ABU, N8071X, ""TN-ADS"" false reg. for del. to SAAF, SAAF 6887, converted to C-47TP, 8.11.2003 on display Ysterplaat, South Africa",1959-1959
31-7612028,1975.0,1984.06.21,LN-PAC (SE-GLY) (N9665N),Piper PA-31-310 Navajo C,Piper Aircraft Corporation,"Lakeland, FL, USA",OY-CEN,"(SE-GLY), LN-PAC, OY-CEN, TF-ODE, OY-CEN, N493PL",1984-1989 1993-2004
,,,,,,,OY-SVR (2),"G-31-925, JA8877, OY-SVR (2) Sun Air ""Union Flag"", TF-ORA Eagle Air",2003-2006
212,1966.0,1967.03.30,F-BOEE (F-WOEE),Sud SE-210-10B3 Super Caravelle,Sud-Aviation,"Toulouse, France",OY-STC,"F-WOEE, F-BOEE, OY-STC Sterling Airways, OH-LSK, EC-CUM, OY-STC, (F-GHKO), HK-3858X, HK-3858. Bogota, Colombia 12.1995. Broken up 10.1997","1967-1975 
1981-1993"
24358,1989.0,1989.05.10,Cancelled 1991.07.23,Boeing 767-383ER,Boeing Company,"Everett, WA, USA",OY-KDH,"OY-KDH SAS ""Thyra Viking"", I-AEJB, OY-KDH,  (SE-DOF), OY-KDH, TF-ATT, G-VKNI, N219CY","1989-1991
1993-2002"
,1946.0,1977.10.26,D-EKUH N89980,Cessna 140,Cessna Aircraft Company,"Wichita, KS, USA",OY-AVO,"NC89980, N89980, D-EKUH, OY-AVO, LN-ALO. Damaged in storm 14.1.2007 Stord. Flymuseet Sola as a flight simulator 2012",1977-1989
3292,2007.0,2007.11.01,(D-AVYC) (LN-RKL),Airbus A319-131,Airbus Industrie,"Hamburg/Finkenwerder, Germany",OY-KBT,"D-AVYC, (LN-RKL), OY-KBT ""Ragnvald Viking""",2007
17248613,1961.0,2007.07.05,D-EABD N8113X,Cessna 172B,Cessna Aircraft Company,"Wichita, KS, USA",OY-DBD,"N8113X, D-EABD, OY-DBD",2007
19,1963.0,1964.02.08,Cancelled 1977.06.17,PIK-16c Vasama,Polyteknikkojen Ilmailukerho,"Hämeenlinna, Finland",OY-BXB,"OY-BXB, LN-GGP. CofA expired 1999, cancelled 2005, stored. LN-GGP",1964-1977
278,1983.0,1985.02.26,D-GOBY,Partenavia P.68C,Partenavia Costruzioni Aeronautiche,"Casoria, Italy",OY-BYS,"D-GOBY, OY-BYS, G-BMLR, PH-GRO, N12VK, HA-ACD, F-HUBG",1985-1986
20083,1975.0,1977.06.14,Cancelled 2006.09.06,PIK-20B,Polyteknikkojen Ilmailukerho,"Lahti, Finland",OY-XHY,"OY-XHY competition number T1, I-DRKR",1977-2006
11578,1943.0,1979.08.01,D-EBIR HB-OAM 43-30287,Piper J-3C-65 Cub (L-4H),Piper Aircraft Corporation,"Lock Haven, PA, USA",OY-EFE,"43-30287, HB-OAM, D-EBIR, OY-EFE, SE-BEY",1979-2006
CE-1139,1987.0,1987.08.18,Cancelled 2006.06.28,Beech F33A Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BVU,"OY-BVU Ikaros Fly, Piko Fly, D-ELSJ(2)",1987-2006
28-7425151,1973.0,1974.03.15,Cancelled 2006.07.10,Piper PA-28-140 Cherokee Cruiser,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BGN,"OY-BGN, G-ENGL, destroyed by fire (arson) 3.2008",1974-2006
34-7250260,1972.0,1972.08.11,(SE-GAI),Piper PA-34-200 Seneca,Piper Aircraft Corporation,"Vero Beach, FL, USA",OY-BGI,"(SE-GAI), OY-BGI, ZS-OHU",1972-2006
172S8004,1998.0,2004.05.11,N504ER,Cessna 172S Skyhawk SP,Cessna Aircraft Company,"Independence,KS, USA",OY-CSB,"N504ER, OY-CSB",2004
,,2005.04.18,Cancelled NTU,Cirrus SR 20,Cirrus Design Corporation,,OY-TAF,"N10040, (OY-TAF), G-CSEA, OY-TAF Flyveklubben Ten Air Flight","(2005)
2005"
077,1944.0,2003.10.16,SE-SPK Fv8216,DFS Kranich 2,DFS (Deutsche Forschungsanstalt für Segelflug,"Norrköping, Sweden",OY-KRX,"SE-SPK, Fv8216, OY-KRX, under restaurering 2006 Billund",
,1965.0,1965.04.07,Cancelled 2007.09.27,Schleicher K 8B,"Schleicher Segelflugzeugbau, A.","Hämeenlinna, Finland",OY-BXV,"Competition number J7, Dansk Svæveflyvehistorisk Klub. Damaged 20.7.1997 Hammer airfield. Broken up",1965-2007
nil,1949.0,1957.06.03,OY-119,Høgslund/Traugott-Olsen 2G,Høgslund/Traugott-Olsen,"Viborg, Denmark",OY-ARX,"OY-119 ""Dumbo"", OY-ARX, damaged 7.7.1968 Rønne, Dansk Veteranflysamling, Dansk Svæveflyvehistorisk Klub. Restored Holstebro 2007","1957-1979,
2007-2008,
2015"
nil,1949.0,1949.04.11,Cancelled 1957.06.03,Høgslund/Traugott-Olsen 2G,Høgslund/Traugott-Olsen,"Viborg, Denmark",OY-119,"OY-119 ""Dumbo"", OY-ARX, damaged 7.7.1968 Rønne, Dansk Veteranflysamling, Dansk Svæveflyvehistorisk Klub. Restored Holstebro 2007",1949-1957
CE-1200,1987.0,1988.03.10,Cancelled 2006.10.05,Beech F33A Bonanza,Beech Aircraft Corporation,"Wichita, KS, USA",OY-BVR,"OY-BVR Aviation Assistance, VH-ZBZ",1988-2006
501-0049,1977.0,1988.06.22,(N347DA) (N36WS) N2ZC N98586,Cessna 501 Citation I/SP,Cessna Aircraft Company,"Wichita, KS, USA",OY-SVL,"N98586, N2ZC, (N36WS), (N347DA), (OY-CRN), OY-SVL, ZS-CWD",1988-2003
T30300100,1982.0,1987.11.25,N3116C,Cessna T303 Crusader,Cessna Aircraft Company,"Wichita, KS, USA",OY-SVH,"N3116C, OY-SVH, G-BSPF.  Damaged beyond repair 16.7.1998  near Bridle Road, Burton Joyce, Nottinghamshire",1987-1990
1531-190,1965.0,1981.07.02,D-IOHS OE-FAR (N1165Z),Aero Commander 500B,Aero Commander Div. of Rockwell Standard Corp,"Bethany, OK, USA",OY-SUO,"OE-FAR, D-IOHS, OY-SUO, N190JP, N29PJ, CC-CTR, N666ME, broken up 2012",1981-1983
1DK386C,2011.0,2021.09.21,LN-BAR(4) (LN-EKT),Progressive Aerodyne SeaRey C,Progressive Aerodyne Inc,Norway,OY-SEA(1),"N3521N, OY-SEA Sterling European, PR-GIR, N679AC, OM-FEX",1998-2006
