registration,type,construction_no,year_mfr,year_reg,icao,notes
OY-DMS,Douglas DC-7,"44139
443",1954,1964-1973,DC7,"N318AA, N318A, OY-DMS Flying Enterprise, Conair. 
Esbjerg lufthavns  brandvæsen, broken up 1978."
OY-DMT,Douglas DC-7,"44136
434",1954,1965-1971,DC7,"N315AA, N315A, CF-PWD, OY-DMT Conair of Scandinavia, Københavns lufthavns brandvæsen. Broken up 12.2000"
OY-DMU,Douglas DC-7,"44135
427",1954,1965-1969,DC7,"N314AA, N314A, CF-PWK, N314A, OY-DMU, broken up 4.1969 Kastrup"
OY-DMV,Piel CP.301 Emeraude,120,1958,1966-1971,CP30,"F-BIAY, OY-DMV, crashed 31.3.1968 Nr. Broby"
OY-DMW,Douglas DC-7,"44142
452",1954,1965-1971,DC7,"N321AA, N321A, OY-DMW, broken up 1971 Kastrup"
OY-DMZ,Piper PA-24-250  Comanche,24-759,1959,1966,PA24,"N5687P, SE-CKT, OY-DMZ"
OY-DNA,Auster J/1 Autocrat,2032,1946,1946-1960,J1,Crashed 26.7.1960 Fanø
OY-DNB,Reims Cessna F.172G Skyhawk,F1720273,1966,1968-1971,C172,"D-ELMS, OY-DNB, D-EFGH, crashed 16.8.1992 Sardinia, Italy"
OY-DNC,Douglas DC-3D,42962,1946,1966-1968,DC3,"NC34966, OY-DCO SAS ""Tor Viking"", ""Orm Viking"", SE-CFT, OY-DNC Danish Aero Lease/Faroe Airways, N4296. Destroyed by fire 15.4.1969 Coventry-Baginton, UK"
OY-DND,SIAI-Marchetti SF.260,1-11,1968,1968-1972,F260,"OY-DND, OO-HID, D-EODG"
OY-DNE,Auster J/1 Autocrat,2103,1946,1946-1946,J1,Crashed 28.9.1946 Enebærodde
OY-DNF,Fokker F.27  Friendship 400,10342,1967,1967-1974,F27,"PH-FLN, OY-DNF (Faroe Airways), Danish Aero Lease, PH-FLN, OO-HLN, F-BYAB, D-AELJ, WFU and stored in 2010"
OY-DNH,Beech 95-B55 Baron,TC-1151,1968,1968-1971,BE55,Crashed 31.10.1969 Aalborg
OY-DNI,Miles M.14A Magister,1946,1940,1946-1951,MAGI,"R1975, OY-DNI, crashed 9.10.1949 Lille Løjtved"
OY-DNL,Cessna 421,421-0103,1968,"1968-1974 
1975-1978",C421,"(N3122K), OY-DNL, (SE-GGS), OY-DNL, N79AC, N70DC"
OY-DNM,Piper PA-28-140 Cherokee,28-23870,1968,1968-1988,P28A,"(LN-VYR), OY-DNM, LN-FSB"
OY-DNS,Piper PA-28-180 Cherokee C,28-2093,1964,1971-1979,P28A,"N8027W, OY-DNS, crashed 7.6.1974 Holsteinsborg"
OY-DNT,Reims Cessna F.172F Skyhawk,F1720115,1964,"1968-1979 
1981-2000",C172,"D-ENNY, OY-DNT, CofA expired 1974, OY-DNT. Crashed 3.5.1987 Brædstrup"
OY-DNU,Auster J/1 Autocrat,2102,1946,1946-1979,J1,"Crashed 23.3.1969 Frederikshavn, Malmö Tekniska Museum"
OY-DNV,MRAZ M-1D Sokol,339,1950,(1968-1980),SOKL,"OK-D.., OE-AAY, D-EMUP, (OY-DNV), SE-XGD"
OY-DNW,C.E.A. DR.250/160 Capitaine,97,1967,1967-1985,D250,"OY-DNW, F-GDSF"
OY-DNY,Auster J/1 Autocrat,2111,1946,1946-1948,J1,"Crashed 15.6.1948 Hjortholm, Langeland. Wings used to restore OY-DNO"
OY-DNZ,Jodel DR.253B Regent,139,1968,1969-1971,D253,"OY-DNZ, D-EDNZ, crashed on take off 11.6.2000 from Bad Endorf, Germany (EDPC). Sugar was found in the fuel tank - probable sabotage"
OY-DOA,KZ IIIU-2,97,1946,1946-1967,KZ3,Crashed 17.7.1967 Ljørring
OY-DOB,KZ IIIU-2,98,1946,1947-1967,KZ3,Crashed 7.7.1966 Klemensker
OY-DOC,Fokker Grulich F.III,1561,1925,(1929),,"D-545 Deutscher Aero Lloyd, T-DOFC, (OY-DOC), G-AARG, 
broken up 1931"
OY-DOD,Desoutter II Sports Coupé,D.40,1930,1931-1941,,"OY-DOD DDL, M.Hansen, Nordisk Lufttrafik A/S, Nordjydsk Aero Service, Dansk Røde Kors, DS-1 Finnish Red Cross, OH-TJA, crashed 4.12.1947 Tammerfors"
OY-DOF,de Havilland D.H.60 Moth,249,1926,1929-1935,DH60,"G-EBNM, T-DMØL, OY-DOF, damaged 13.1.1935 Kastrup. Rebuilt as OY-DYK. Stolen by German occupation troops 1943."
OY-DOG,Klemm L.20,59,1927,1933-1939,,"T-DGOB, damaged 26.8.1928 Storebælt, OY-DOG. Stolen by German occupation troops 1943."
OY-DOH,de Havilland D.H.60G Gipsy Moth,906,1928,1934-1939,DH60,"S-105, S-355, OY-DOH.  Stolen by German occupation troops 1943."
OY-DOI,Klemm L.25C.VII,409,1933,1934-1940,KL25,"D-2319 Kraftwagenhallen am Messberg, Hamburg, OY-DOI Arvid Hansen, H.Thede. Stolen by German occupation troops 1943."
OY-DOK,de Havilland D.H.87B Hornet Moth,8065,1936,1936-1941,DH87,"OY-DOK, flown from Denmark ""illegaly"" 1941, HM498, damaged in a collision with Avro Tutor K4811 25.3.1942 RAF Bicester"
OY-DOL,Klemm L.25C-1 Swallow,20,1934,1937-1940,KL25,"G-ACXD, OY-DOL. Stolen by German occupation troops 1943."
OY-DOM,Piper J3C-40 Cub (Lundtofte),1164,1938,1938-1943,J3,"Sportsflyveklubben ""Pegasus"". Destroyed by fire in a waggon  1.6.1943 Islands Brygge, København"
OY-DON,de Havilland D.H.87B Hornet Moth,8152,1938,1938-1942,DH87,"OY-DON, SE-ALE, crashed 27.8.1960 into Vättern at Jönköping"
OY-DOO,Spartan Arrow,79,1932,1938-1939,,"G-ABWR, OY-DOO. Stolen by German occupation troops 1943."
OY-DOR,Piper J3C-50 Cub (Lundtofte),2532,1939,1939-1939,J3,Crashed 29.6.1939 Svendborg
OY-DOS,Gardan GY-80 Horizon 160,60,1964,1965-1979,GY80,Crashed 27.7.1975 Bønnerup
OY-DOT,Piper J3C-50 Cub (Lundtofte),2481,1938,1939-1940,J3,Stolen by German occupation troops 1943.
OY-DOU,KZ II Sport,13,1939,1939-1944,KZ2,"OY-DOU, SE-ANM, ""OY-DOU"",  Dansk Veteranflysamling"
OY-DOV,KZ II Kupe,21,1939,1939-1940,KZ2,Ålborg Flyveklub. Stolen by German occupation troops 1943.
OY-DOW,Reims Cessna F.172G Skyhawk,F1720231,1965,1966-1973,C172,"OY-DOW, damaged 9.1.1972 Klovborg, LN-VIE, got lost over the sea 22.5.1977 after take off from Ørlandet"
OY-DOY,Beech 65 Queen Air,LC-15,1960,1964-1967,BE65,"D-IGAS, SE-EDE, LN-IKB, OY-DOY, N7345"
OY-DOY,KZ II Kupe,25,1940,,KZ2,Never finished. Stolen by German occupation troops 1943.
OY-DPA,Auster J/1 Autocrat,2118,1946,1946-1950,J1,Crashed 27.7.1949 Rømø
OY-DPB,Morane MS.880B Rallye Club,183,1962,1965-1979,RALL,"OE-CAD, OY-DPB, crashed 7.9.1975 Kruså"
OY-DPC,Cessna 210E Centurion,21058644,1965,1965-1995,C210,"(N4944U), OY-DPC, crashed 1.5.1994 Kaunas, Lithuania"
OY-DPD,Beech 95-B55 Baron,TC-906,1965,1965-1966,BE55,Crashed 28.12.1965 Billund
OY-DPE,Auster J/1 Autocrat,2119,1946,1946-1962,J1,"OY-DPE, D-EHUN(2) CofA expired 1980,"
OY-DPF,Cessna 210-5 (205),205-0294,1963,1965-2003,C210,"N8294Z, HB-CMW, OY-DPF, D-EXAB(3)"
OY-DPG,Cessna 172F Skyhawk,17251839,1964,1968-1979,C172,"N7839U, OY-DPG, damaged in a storm 12.11.1977 Roskilde"
OY-DPH,Beech 95-B55 Baron,TC-771,1964,1964-1966,BE55,"Crashed 23.12.1964 Kerava, north of Vantaa AP, Finland"
OY-DPI,Auster J/1 Autocrat,2129,1946,1947,J1,
OY-DPJ,Auster J/1 Autocrat,2302,1946,1967-1972,J1,"G-AJEW, D-EDIG, OY-DPJ, damaged by gale 22.9.1969 Fredericia"
OY-DPK,Beech 95-A55 Baron,TC-261,1962,1968-1970,BE55,"OH-APU, OH-BBA, OY-DPK, OH-BBA, 
on display at Ilmailumuseo, Helsinki"
OY-DPL,Beech A23 Musketeer,M-637,1965,1965,BE23,WFU
OY-DPM,Beech 95-B55 Baron,TC-743,1964,1964-1968,BE55,"OY-DPM, SE-EWK, N67G"
OY-DPN,de Havilland D.H.114 Heron 2B,14050,1954,1964-1966,HERN,"SA-R5, G-APRK, (PH-VLC), (PH-VLB), PH-VLA, G-APRK, OY-DPN, G-APRK, OY-DGK, G-APRK, 5N-AGM, G-APRK, OY-DGK, G-APRK, CF-FZR (ST-27), HK-1299, C-FFZR, cancelled"
OY-DPO,Auster J/1 Autocrat,2120,,,J1,"(OY-DPO), G-AIKD, F-BEXT, crashed 10.6.1950 Rilly-sur -Loire"
OY-DPP,Reims Cessna F.172F Skyhawk,F1720147,1965,1965-1966,C172,Crashed 27.8.1966 Samsø
OY-DPR,de Havilland D.H.114 Heron 2B,14085,1955,1965-1968,HERN,"SAAF 120, G-ASUY, OY-DPR Falcks Flyvetjeneste, G-ASUY, N554PR, converted to a Riley Heron, crashed 24.6.1972 Mercedita Airport, Ponce, Puerto Rico"
OY-DPS,Gardan GY-80  Horizon 160,93,1965,1965-2004,GY80,Crashed 14.6.1994 Fårevejle
OY-DPT,Beech A23 Musketeer,M-636,1964,1965-1979,BE23,"OY-DPT, AP-BAN"
OY-DPY,Auster J/1 Autocrat,2121,1946,1946-1961,J1,Crashed 16.6.1961 Kirstinesminde
OY-DRA,Auster J/1 Autocrat,2142,1946,1946-1981,J1,"Sportsflyveklubben ""Fyrtøjet"", damaged 15.5.1977 Lindtorp, restored, OY-8601"
OY-DRB,Piper PA-28-140 Cherokee,28-23750,1967,1971-1998,P28A,"LN-UXS, OY-DRB, (LN-VIB), LN-AAR"
OY-DRD,Piper PA-28-180 Cherokee D,28-4790,1968,1971-1981,P28A,"LN-VYK, OY-DRD, destroyed by fire 6.2.1978 Kaldred"
OY-DRE,Jodel DR.340 Major,01,1968,"1969-1975 
1976-1976",DR30,"(F-WOFP), F-BOFP, OY-DRE, D-EGFL, OY-DRE, D-EGFL, crashed 20.5.1977 Mollenfelde"
OY-DRG,MFI-9B Trainer,067,1971,"1971-1981 
1985",JUNR,"(SE-FIE), OY-DRG, SE-FIE, OY-DRG"
OY-DRH,Cessna 310/Riley 65,35407,1956,1969-2003,C310,"N5207A, G-ASSZ, OY-DRH, Danmarks Flyvemuseum"
OY-DRI,Piper PA-28-140 Cherokee,28-23815,1967,1971,P28A,"LN-UXV, OY-DRI"
OY-DRK,Beech 65-A80 Queen Air,LD-154,1964,1971-1972,BE80,"D-ILBA, OY-DRK, N5AP, N5AE, cancelled"
OY-DRM,Douglas DC-6B Super Cloudmaster,"45326
803",1957,1972-1979,DC6,"CF-CZS ""Empress of Montreal"", G-ARXZ, CF-CZS, OY-DRM ""Sululik"" (den med vinger), G-SIXA, broken up 1985 Manston"
OY-DRN,Zlin Z-526 Trener Master,1046,1968,1972-1979,Z26,"HB-TBT, OY-DRN, LN-LGA, crashed 19.7.1982 at Kjevik"
OY-DRP,de Havilland D.H.104 Dove/Riley 400,04519,1960,1971-1975,DOVE,"G-ARDH, OY-DRP, HP-732"
OY-DRR,KZ VIII,203,1949,1972,KZ8,"D-EBIZ, OY-DRR, Dansk Veteranflysamling, Danmarks Flymuseum"
OY-DRS,Reims Cessna F.172K Skyhawk,F17200786,1971,1972-2009,C172,"LN-LJY, OY-DRS, SE-LKX, N453BG"
OY-DRT,Beagle A.109 Airedale,B.506,1963,1972-1980,AIRD,"G-ARNT, OY-DRT, broken up"
OY-DRV,MFI-9B Trainer,062,1972,1972-1974,JUNR,"(SE-EUI), OY-DRV, LN-BDP, damaged 18.9.1980 at Skien. Restored as SE-XIS"
OY-DRW (1),Piper PA-28-140 Cherokee,28-23805,1967,1970-1997,P28A,"N9661W, LN-UXU, OY-DRW, crashed 6.4.1997 Randers"
OY-DRZ,Piper PA-28-140 Cherokee B,28-25608,1969,1972,P28A,"LN-BDX, OY-DRZ"
OY-DSB,KZ VIIU-8 Lærke,191,1947,1972,KZ7,"HB-EPT, OY-DSB"
OY-DSC,Beech 95-B55 Baron,TC-1224,1969,1969-1972,BE55,"OY-DSC, OO-DEB"
OY-DSD,Reims Cessna F.172K Skyhawk,F17200756,1970,1972-2003,C172,"N9443, LN-BES, OY-DSD, (SE-GUB), OY-DSD, crashed into sea 9.1.1997 Vadehavet"
OY-DSE,Piper PA-28-140 Cherokee D,28-7125333,1971,1972-1999,P28A,"LN-MTL, OY-DSE, crashed 31.5.1999 Egebjerg, Horsens"
OY-DSG,Piper PA-30-160 Twin Comanche,30-1695,1968,1969-1980,PA30,"N8534Y, N890EW, OY-DSG, crashed  
25.1.1977 Østersøen south of Lolland"
OY-DSH,Taylorcraft Plus D,228,1942,1988,PLUS,"LB381, G-AHKO, D-ECOD, OY-DSH, Dansk Veteranflysamling, Danmarks Flymuseum"
OY-DSK,Boeing 720-025,"18157
233",1961,1971-1982,B720,"N8703E, (N1611B), OY-DSK Conair, N3124Z, broken up Luton, UK 1985"
OY-DSM,Boeing 720-025,"18161
239",1961,1971-1984,B720,"N8707E, (N1613B), OY-DSM Conair, broken up, remains destroyed by fire 10.7.1984 Kastrup"
OY-DSN,Piper PA-28-140 Cherokee,28-23283,1967,1972,P28A,"LN-UXL, OY-DSN GT Aviation"
OY-DSO,KZ IIIU-2,65,1946,1946-2010,KZ3,Damaged
OY-DSP,Boeing 720-025,"18241
247",1961,1971-1985,B720,"N8712E, (N1611B), OY-DSP Conair, Danmarks Flyvemuseum, broken up 1990 Kastrup"
OY-DSR,Boeing 720-025,"18243
254",1961,1971-1975,B720,"N8714E, (N1611B), OY-DSR Conair, damaged in forced landing 13.9.1974 Kastrup, broken up 1975"
OY-DSS,Piper PA-28-180 Cherokee C,28-3655,1966,1972,P28A,"(SE-EZK), LN-NPS, OY-DSS"
OY-DST,Bölkow Bö 208A-2 Junior,537,1964,1972-1988,JUNR,"(D-EGQU), G-ASUO, OY-DST, crashed 31.7.1981 Skive"
OY-DSU,KZ IIIU-2,62,1946,1946-1959,KZ3,"Crashed 28.9.1959 Arzberg, Austria"
OY-DSV,Auster J/1 Autocrat,1824,1945,"1973-1979
1981",J1,"G-AGTR, D-ENUM, OY-DSV, CofA expired 1976"
OY-DTA,KZ IIIU-2,73,1946,1946-1981,KZ3,LDB. deponeret 1978
OY-DTB,SOCATA MS.880B Rallye Club,886,1967,1967-1981,RALL,Crashed 1977 Gørlev
OY-DTC,SOCATA MS.880B Rallye Club,890,1967,1967-1992,RALL,"Crashed 23.12.1991 Staverton, UK"
OY-DTD,SOCATA MS.880B Rallye Club,891,1967,1967-1979,RALL,Crashed 10.7.1974 Kongerslev
OY-DTE,KZ IIIU-2,71,1946,1946-1979,KZ3,Crashed 24.5.1975 Odense
OY-DTF,Cessna 172B Skyhawk,17248515,1961,1966-1975,C172,"N8015X, SE-CTL, OY-DTF, crashed 9.2.1975 Ødis Bramdrup"
OY-DTH,Piper PA-28-180 Cherokee B,28-1566,1964,1966-1973,P28A,"(N7607W), LN-HAF, OY-DTH, TF-FHE, TF-FFH, TF-SPG, TF-NFJ, TF-RSH, TF-TOH"
OY-DTJ,Gardan GY-80 Horizon 180,203,1967,1967-1975,GY80,"OY-DTJ, D-EGWA(2)"
OY-DTK,SOCATA MS.880B Rallye Club,1119,1967,1967-1982,RALL,Broken up 1982
OY-DTL,SOCATA MS.880B Rallye Club,1108,1967,1967-2003,RALL,CofA expired
OY-DTM,SOCATA MS.880B Rallye Club,1112,1967,1967-1997,RALL,Crashed 6.9.1997 at Hjelm
OY-DTO,Piper J3C-65 Cub (L-4H),12033,1944,1947-1956,J3,"44-79737, OY-DTO, D-ENAS, crashed 26.7.1956 Egelsbach"
OY-DTP,Auster J/1A Autocrat,2332,1946,1974,J1,"G-AJIN, D-EJYN, OY-DTP"
OY-DTR,SOCATA MS.893A Rallye Commodore 180,10789,1968,1968-1981,RALL,"(SE-CIR), OY-DTR, crashed 24.4.1977 Assendrup"
OY-DTS,SOCATA MS.880B Rallye Club,1180,1967,1968,RALL,
OY-DTT,SOCATA MS.880B Rallye Club,1199,1968,1968-1975,RALL,Crashed 22.10.1971 Randers
OY-DTW,Cessna 340,340-0199,1973,1974-1978,C340,"N7741Q, G-BAWO, OY-DTW, G-BAWO, crashed 28.11.1980 Stansted, UK (EGSS)"
OY-DTZ,SOCATA MS.880B Rallye Club,1213,1968,1968-1981,RALL,Damaged in a storm 1981
OY-DUA,KZ IIIU-2,100,1946,1947-1956,KZ3,Crashed 19.8.1956 Herning
OY-DUB,KZ IIIU-2,101,1946,1947-1967,KZ3,"Crashed 16.8.1965 Blistrup Mark, Mors"
OY-DUC,Fokker Grulich F.III,1558,1925,(1929),,"D-526, T-DOFF, (OY-DUC), G-AALC British Air Lines Ltd. Crashed 11.9.1929 at Croydon when it failed to become airborne and collided with a house in Plough Lane."
OY-DUC,Farman F.121 Jabiru,7,1925,,,"T-DOXC, (OY-DUC), broken up 1931 Kastrup"
OY-DUD,de Havilland D.H.60X Moth,685,1927,"1931-1933 
1934-1939",DH60,"G-EBZT, OY-DUD. Stolen by German occupation troops 1943."
OY-DUE,KZ VII Lærke,124 (P),1946,1947-1947,KZ7,Crashed 27.4.1947 Skovlunde
OY-DUF,de Havilland D.H.60G Gipsy Moth,890,1928,1934-1939,DH60,"T-DMOT, OY-DUF, damaged 1934. Stolen by German occupation troops 1943."
OY-DUG,de Havilland D.H.60G Gipsy Moth,903,1928,1934-1940,DH60,"S-102, S-352, OY-DUG. Stolen by German occupation troops 1943."
OY-DUH,de Havilland D.H.60G Gipsy Moth,902,1928,1934-1940,DH60,"S-101, S-351, OY-DUH. Stolen by German occupation troops 1943."
OY-DUI,KZ IIIU-2,103,1947,"1947-1956
1971-1979
2000",KZ3,"OY-DUI, D-ECUF, OY-DUI, SE-AMF, OY-DUI"
OY-DUJ,MFI-9B Trainer,38,1965,1968-1982,JUNR,"SE-ENC, OY-DUJ, SE-IME, SE-ENC"
OY-DUK,Spartan Arrow,86,1933,1935-1939,,"G-ACHG, OY-DUK, SE-AFR, broken up 1961"
OY-DUL,Taylor J2C-40 Cub (Kramme),339,1935,1937-1946,J2,"NC15674, OY-DUL. Stolen by German occupation troops 1943."
OY-DUM,Piper J3C-40 Cub (Lundtofte),1163,1938,1938-1940,J3,Stolen by German occupation troops 1943.
OY-DUN,de Havilland D.H.87B Hornet Moth,8153,1938,1938-1940,DH87,Stolen by German occupation troops 1943.
OY-DUO,Piper J2C-40 Cub (Lundtofte),1160,1938,1938-1942,J2,Damaged 14.8.1939 at Samsø. Stolen by German occupation troops 1943.
OY-DUR,Piper J3C-50 Cub (Lundtofte),2533,1939,1939-1943,J3,Stolen by German occupation troops 1943.
OY-DUT,Piper J3C-50 Cub (Lundtofte),2485,1939,1939-1939,J3,Stolen by German occupation troops 1943.
OY-DUU,KZ II Sport,14,1939,1939-1940,KZ2,Sportsflyveklubben København. Stolen by German occupation troops 1943.
OY-DUY,Auster J/1 Autocrat,2181,1946,1967-1973,J1,"HB-EOT, D-EDAX, OY-DUY, damaged 25.8.1968 Hoven. Rebuilt using wings from OY-DTP. On display at Forsvarets Flysamling, Gardermoen, Norway"
OY-DUY,KZ II Kupe,27,1939,(1940),KZ2,"(OY-DUY), SE-ANR, OH-SPJ, OH-KZT, OY-AEA"
OY-DUZ,KZ IIIU-1,57,1946,1946-1956,KZ3,Sunket ud for Røsnæs efter nødlanding på isen 15.2.1956
OY-DVA,KZ IIIU-2,74,1946,"1946-1957 
1971",KZ3,"OY-DVA, D-ENYL, OY-DVA"
OY-DVC,Beagle B.121 Pup 2,151,1969,1970-1980,PUP,"G-35-151, (SE-FOD), OY-DVC, crashed 29.8.1980 Slagslunde"
OY-DVD,Piper PA-28-140 Cherokee,28-24428,1968,1971-1990,P28A,"LN-LMD, OY-DVD, crashed 30.7.1989 Paradisdalen at Søndre Strømfjord, Greenland"
OY-DVG,Piper PA-32-260 Cherokee Six,32-455,1966,1972,PA32,"LN-HHU, OY-DVG"
OY-DVK,Beech 95-B55 Baron,TC-1142,1968,1972-1993,BE55,"SE-EXX, OY-DVK, N36565"
OY-DVN,Lake LA-4-200 Buccaneer,558,1973,1974-1976,LA4,"N39794, OY-DVN, D-EALG, N9972F, 
D-EALG"
OY-DVO,KZ IIIU-2,76,1946,1946-1985,KZ3,"OY-DVO, CofA expired 1981, N76KZ"
OY-DVT,Piper PA-28R-200 Cherokee Arrow II,28R-7335173,1973,1974-1980,P28R,"N55047, OY-DVT, G-BIKE"
OY-DVY,KZ IIIU-2,85,1946,1946-1958,KZ3,Crashed 11.6.1958 Kertinge Strand
OY-DVZ,Transavia PL-12 Airtruk,1238,1972,1973,PL12,"VH-ETH, OY-DVZ, Dansk Veteranflysamling, Danmarks Flymuseum"
OY-DYA,de Havilland D.H.89A Dragon Rapide,6917,1945,1954-1956,DH89,"NR853, G-AGWR, OY-DYA, SE-CDI, crashed 23.12.1956 Vimmerby"
OY-DYE,North American AT-6A-NT Texan,78-6922,1942,1955-1956,T6,"41-16544, NC52694, Fv16291, OY-DYE, D-IGAL, D-FGAL, PH-NKD, N13FY/16544"
OY-DYF,Fokker F.VIIa,5086,1927,1929-1945,,"H-NAEM, OY-DYF, DDL ""Aalborg"", SE-APR, sank through the ice 1.2.1947 at Bromölla"
OY-DYG,de Havilland D.H.60G Gipsy Moth,905,1927,1934-1940,DH60,"S-104, S-354, OY-DYG. Stolen by German occupation troops 1943."
OY-DYH,de Havilland D.H.60G Gipsy Moth,901,1927,1935-1940,DH60,"S-100, OY-DYH, crashed 14.1.1940. Stolen by German occupation troops 1943."
OY-DYI,Airspeed A.S.10 Oxford I,,1943,1955-1956,,"NJ294, 21-234, OY-DYI, crashed 20.2.1956  Tirstrup"
OY-DYK,de Havilland D.H.60 Cirrus Moth,249,1926,1936-1939,DH60,"G-EBNM, T-DMØL, OY-DOF, crashed 13.1.1935 Kastrup, OY-DYK. Stolen by German occupation troops 1943."
OY-DYL,KZ I,2,1937,1937-1937,,Stolen by German occupation troops 1943.
OY-DYN,Piper J2C-40 Cub (Lundtofte),1156,1938,1938-1940,J2,Stolen by German occupation troops 1943.
OY-DYO,Klemm Kl 35B,1521,1936,1938-1940,KL35,Stolen by German occupation troops 1943.
OY-DYP,KZ II Kupe,4,1939,1939-1940,KZ2,Nordisk lufttrafik. Stolen by German occupation troops 1943.
OY-DYR,Piper J3C-50 Cub (Lundtofte),2534,1939,1939-,J3,Stolen by German occupation troops 1943.
OY-DYT,Piper J3C-50 Cub (Lundtofte),2480,1939,1939-1943,J3,Stolen by German occupation troops 1943.
OY-DYV,Piper Cub (Lundtofte),,,,J3,Reserveret til Cub Aircraft Co.
OY-DYY,Avro 652A Anson I,,1944,1953-1956,,"NK616, G-AIPD, OY-DYY, crashed 16.2.1956  Tirstrup"
OY-DZA,KZ IIIU-3,66,1946,"1946-1979 
1989",KZ3,"CofA expired 1969, Dansk Veteranflysamling, Danmarks Flymuseum"
OY-DZB,KZ VIIU-9 Lærke,198,1947,1967,KZ7,"OH-KZB, OY-DZB"
OY-DZC,Cessna 182P Skylane,18261677,1973,1973-1973,C182,"(N21507), (D-ECYA), OY-DZC, 5Y-ATK, crashed"
OY-DZF,Piper PA-28-140 Cherokee,28-21815,1966,1973,P28A,"(SE-EYX), LN-NPL, OY-DZF"
OY-DZG,Piper PA-23-250  Aztec E,27-7305217,1973,"1973-1980 
1980-1995",PA27,"OY-DZG, (G-....), OY-DZG, damaged 14.10.1992 Paderborn-Lippstadt, Germany. N23MN, N43PT"
OY-DZH,Reims Cessna F.172M Skyhawk,F17200922,1972,1973-1980,C172,"(OH-CFQ), SE-FZH, OY-DZH, G-BHYR"
OY-DZI (1),Avro 652A Anson V,3732,1944,1947-1956,,"RCAF 11887, CF-FGB, OY-DZI Zoneredningskorpset, crashed 5.10.1956  Mt. Grammont, Switzerland"
OY-DZK,Piper PA-23-250  Aztec E,27-4718,1971,1973-1980,PA27,"N14155, OY-DZK, crashed 11.1.1974 Handrup Bakker, Tirstrup"
OY-DZL,MFI-9 Junior,004,1962,1969-1973,JUNR,"SE-EBO, G-AVEA, OY-DZL, SE-FUN, 
crashed 6.12.1974 Frederikssund"
OY-DZM,Piper PA-28-140 Cherokee B,28-25308,1968,1973-1989,P28A,"LN-BNJ, OY-DZM, OH-PKV, crashed 3.3.1992 Rovaniemi"
OY-DZP,Piper PA-34-200  Seneca,34-7350277,1973,1973-1974,PA34,"N56054, HB-LEK, OY-DZP, VH-RRS, F-OIAC"
OY-DZV,Britten-Norman BN-2A-9 Islander,702,1974,1974-1998,BN2P,"G-BBFH, OY-DZV Falck Air ""Julie"", 5U-ABZ"
OY-DZY,de Havilland D.H.89A Dragon Rapide,6956,1946,1946-1960,DH89,"RL985, OY-DZY Zonen ""Caritas I"", crashed 16.7.1960 Kastrup"
OY-EAD,Stark CP.301A Emeraude,101,1960,(1962),CP30,"(OY-EAD), D-EEAD"
OY-EAE,Cessna 172B Skyhawk,17248351,1961,1961-1962,C172,"(N7851X), OY-EAE, SE-CPX, LN-NFQ, crashed 25.7.1986 Finnmarksvidda"
OY-EAH (1),Piper PA-23-150  Apache C,23-575,1956,"1962-1964 
1965-2000",PA23,"SE-CBM, OY-EAH, SE-CRR, OY-EAH damaged in storm 3.12.1999 Roskilde"
OY-EAJ,Cessna 150C,15059808,1962,1963-1966,C150,"(N2008Z), OY-EAJ, N4251, SX-AHS, damaged 8.1990"
OY-EAK(1),Morane MS.880B Rallye Club,192,1962,1962-1982,RALL,"(SE-EEH), OY-EAK, broken up"
OY-EAL (2),Gardan GY-80  Horizon 160,54,1964,1964-1981,GY80,Crashed 27.4.1979 Kirstinesminde (EKKM)
OY-EAM,Piper PA-18A-150 Super Cub,18-6796,1959,1962,PA18,"N9694D, OY-EAM"
OY-EAN,Douglas DC-6B Super Cloudmaster,"43275
192",1951,1962-1968,DC6,"HB-IBE, OY-EAN, crashed 23.12.1967 Torslanda, Sweden"
OY-EAP,Douglas DC-6B Super Cloudmaster,"43750
283",1952,1962-1965,DC6,"HB-IBI, OY-EAP, crashed 13.4.1963 Kastrup"
OY-EAR,Douglas DC-6B Super Cloudmaster,"43836
381",1953,1963-1970,DC6,"XA-KIQ, N567, OY-EAR Sterling Airways, broken up 1971 Kastrup"
OY-EAS (1),Stark Turbulent D,127,1959,1959-1960,D31,"OY-EAS, SE-COM, crashed 31.7.1966 Visingsö"
OY-EAW,Piper PA-23-160  Apache G,23-1961,1961,1962-1979,PA23,"N4442P, OY-EAW, crashed 20.5.1968 Samsø"
OY-EAY,Mooney M.20C Mark 21,2144,1962,1962,M20P,"SE-EDK, OY-EAY"
OY-EBA,Fairchild Hiller FH.227B,529,1966,1996-1998,F27,"N4220, HK-1981X, HK-1981, F-GDAH, C-GNDH, SE-KGA, OY-EBA Newair, stored Billund 3.1997, N529LE, HR-ARZ, wfu"
OY-EBC (1),Fokker F.27  Friendship 200,10675,1985,1996-2003,F27,"PH-EXL, PH-EXB, LN-AKD, (SE-KXZ), OY-EBC Newair, 6V-AHS"
OY-EBD (1),Fokker F.27  Friendship 200,10321,1967,(1997),F27,"PH-FKR, I-ATIF, LN-RNX, PH-LMP, PH-FKR, PT-BFZ, PH-FKR, ST-AWB, PH-FKR, (OY-EBD) Newair, D-BAKJ. Broken up Essen-Mülheim. Fuselage as travelling exhibit.(TUI)"
